Name,Color,Rarity,Kevin,Kevin_num,Nate,Nate_num,Tier,Tier_num,Kevin_error,Nate_error
Archmage's Newt,U,R,B,8.0,C,5.0,D+,3.0,5.0,2.0
Duelist of the Mind,U,R,C,5.0,B+,9.0,B+,9.0,4.0,0.0
The Key to the Vault,U,R,B,8.0,D+,3.0,F,0.0,8.0,3.0
"Fblthp, Lost on the Range",U,R,B,8.0,A-,10.0,D,2.0,6.0,8.0
Stoic Sphinx,U,R,B,8.0,B+,9.0,A,11.0,3.0,2.0
Step Between Worlds,U,R,D+,3.0,D+,3.0,F,0.0,3.0,3.0
Jace Reawakened,U,M,B,8.0,A-,10.0,D,2.0,6.0,8.0
"Geralf, the Fleshwright",U,M,A,11.0,B+,9.0,B+,9.0,2.0,0.0
Double Down,U,M,B,8.0,D-,1.0,A-,10.0,2.0,9.0
Insatiable Avarice,B,R,B,8.0,B-,7.0,D-,1.0,7.0,6.0
Tinybones Joins Up,B,R,C+,6.0,D+,3.0,D-,1.0,5.0,2.0
Caustic Bronco,B,R,B+,9.0,C+,6.0,B+,9.0,0.0,3.0
"Vadmir, New Blood",B,R,B,8.0,B,8.0,B,8.0,0.0,0.0
"Kaervek, the Punisher",B,R,B+,9.0,B-,7.0,C,5.0,4.0,2.0
Rush of Dread,B,R,B+,9.0,B-,7.0,B+,9.0,0.0,2.0
Pitiless Carnage,B,R,B-,7.0,C-,4.0,D-,1.0,6.0,3.0
"Tinybones, the Pickpocket",B,M,B+,9.0,B+,9.0,C,5.0,4.0,4.0
"Gisa, the Hellraiser",B,M,A+,12.0,A-,10.0,A,11.0,1.0,1.0
Great Train Heist,R,R,A,11.0,C+,6.0,C-,4.0,7.0,2.0
Hell to Pay,R,R,B,8.0,B,8.0,D+,3.0,5.0,5.0
"Magda, the Hoardmaster",R,R,A-,10.0,A-,10.0,B,8.0,2.0,2.0
Slickshot Show-Off,R,R,C+,6.0,B,8.0,D,2.0,4.0,6.0
Hellspur Posse Boss,R,R,A-,10.0,A,11.0,A,11.0,1.0,0.0
Stingerback Terror,R,R,B+,9.0,A,11.0,A-,10.0,1.0,1.0
"Calamity, Galloping Inferno",R,R,A,11.0,B,8.0,B,8.0,3.0,0.0
Terror of the Peaks,R,M,A+,12.0,A+,12.0,A,11.0,1.0,1.0
Smuggler's Surprise,G,R,D+,3.0,C,5.0,C+,6.0,3.0,1.0
Freestrider Lookout,G,R,B,8.0,B-,7.0,B+,9.0,1.0,2.0
Ornery Tumblewagg,G,R,A,11.0,A,11.0,A,11.0,0.0,0.0
Outcaster Trailblazer,G,R,B+,9.0,B-,7.0,B+,9.0,0.0,2.0
Colossal Rattlewurm,G,R,A,11.0,A,11.0,A,11.0,0.0,0.0
Goldvein Hydra,G,M,A-,10.0,A-,10.0,B+,9.0,1.0,1.0
"Bristly Bill, Spine Sower",G,M,A+,12.0,A-,10.0,A+,12.0,0.0,2.0
Railway Brawler,G,M,A,11.0,A,11.0,A+,12.0,1.0,1.0
"Satoru, the Infiltrator",M,R,B+,9.0,B,8.0,C+,6.0,3.0,2.0
Laughing Jasper Flint,M,R,B+,9.0,A,11.0,A,11.0,2.0,0.0
Akul the Unrepentant,M,R,B,8.0,B-,7.0,C-,4.0,4.0,3.0
Rakdos Joins Up,M,R,C+,6.0,C-,4.0,B-,7.0,1.0,3.0
"Roxanne, Starfall Savant",M,R,A+,12.0,A-,10.0,A+,12.0,0.0,2.0
Seraphic Steed,M,R,A,11.0,A,11.0,A,11.0,0.0,0.0
"Wylie Duke, Atiin Hero",M,R,C-,4.0,C+,6.0,A-,10.0,6.0,4.0
"Kambal, Profiteering Mayor",M,R,C+,6.0,C-,4.0,B-,7.0,1.0,3.0
"Malcolm, the Eyes",M,R,B,8.0,A,11.0,B,8.0,0.0,3.0
"Breeches, the Blastmaker",M,R,A,11.0,B,8.0,C+,6.0,5.0,2.0
"Lilah, Undefeated Slickshot",M,R,B+,9.0,B,8.0,C,5.0,4.0,3.0
Pillage the Bog,M,R,D+,3.0,B-,7.0,C,5.0,2.0,2.0
Vraska Joins Up,M,R,D+,3.0,C+,6.0,D,2.0,1.0,4.0
"Taii Wakeen, Perfect Shot",M,R,B,8.0,C,5.0,C,5.0,3.0,0.0
"Bruse Tarl, Roving Rancher",M,R,B+,9.0,A-,10.0,A,11.0,2.0,1.0
"Bonny Pall, Clearcutter",M,R,A-,10.0,A+,12.0,A+,12.0,2.0,0.0
Kellan Joins Up,M,R,C-,4.0,C-,4.0,B-,7.0,3.0,3.0
"Eriette, the Beguiler",M,R,B,8.0,C-,4.0,D+,3.0,5.0,1.0
"Marchesa, Dealer of Death",M,R,B,8.0,C+,6.0,B,8.0,0.0,2.0
"Obeka, Splitter of Seconds",M,R,B-,7.0,D+,3.0,F,0.0,7.0,3.0
Annie Joins Up,M,R,D+,3.0,B-,7.0,C,5.0,2.0,2.0
Riku of Many Paths,M,R,D+,3.0,B+,9.0,D+,3.0,0.0,6.0
Assimilation Aegis,M,M,B,8.0,A-,10.0,A-,10.0,2.0,0.0
"Rakdos, the Muscle",M,M,A+,12.0,A+,12.0,A,11.0,1.0,1.0
"Selvala, Eager Trailblazer",M,M,A,11.0,A,11.0,A-,10.0,1.0,1.0
"Vraska, the Silencer",M,M,B+,9.0,B,8.0,C+,6.0,3.0,2.0
"The Gitrog, Ravenous Ride",M,M,A,11.0,A,11.0,A-,10.0,1.0,1.0
"Oko, the Ringleader",M,M,A-,10.0,A+,12.0,A-,10.0,0.0,2.0
"Kellan, the Kid",M,M,B,8.0,B+,9.0,C+,6.0,2.0,3.0
"Ghired, Mirror of the Wilds",M,M,B-,7.0,C,5.0,C+,6.0,1.0,1.0
"Annie Flash, the Veteran",M,M,A-,10.0,A-,10.0,A-,10.0,0.0,0.0
Blooming Marsh,L,R,B,8.0,C-,4.0,C+,6.0,2.0,2.0
Botanical Sanctum,L,R,C+,6.0,C-,4.0,C+,6.0,0.0,2.0
Concealed Courtyard,L,R,B-,7.0,C-,4.0,C+,6.0,1.0,2.0
Inspiring Vantage,L,R,B,8.0,C-,4.0,C+,6.0,2.0,2.0
Spirebluff Canal,L,R,B-,7.0,C-,4.0,C+,6.0,1.0,2.0
