Name,Notes,Rating,Color,Rarity
Mindbreak Trap,,D-,U,M
Mana Drain,,C+,U,M
Fomori Vault,,G,L,M
Tarnation Vista,,G,L,M
Nexus of Becoming,,G,A,M
Transmutation Font,,G,A,M
Sword of Wealth and Power,,G,A,M
Lotus Ring,,G,A,M
Torpor Orb,,G,A,M
Lost Jitte,,G,A,M
"Loot, the Key to Everything",,G,M,M
Vaultborn Tyrant,,G,G,M
Pest Control,,G,M,M
Omenpath Journey,,G,G,M
Bristlebud Farmer,,G,G,M
Sandstorm Salvager,,G,G,M
Molten Duplication,,G,R,M
Memory Vessel,,G,R,M
Legion Extruder,,G,R,M
Harvester of Misery,,G,B,M
Hostile Investigator,,G,B,M
Greed's Gambit,,G,B,M
Worldwalker Helm,,G,U,M
Simulacrum Synthesizer,,G,U,M
Esoteric Duplicator,,G,U,M
Oltec Matterweaver,,G,W,M
Rest in Peace,,G,W,M
Grand Abolisher,,G,W,M
Ancient Cornucopia,,G,G,M
Territory Forge,,G,R,M
Collector's Cage,,G,W,M
Generous Plunderer,,G,R,M
