Name,Color,Rarity,Mana Value,Tier,Synergy,Buildaround,Comment,Image,Image Back
Laughing Jasper Flint,M,R,3,A,,,,https://cards.scryfall.io/large/front/a/f/af0b3a41-ba99-41e8-bcfb-5796500c17c7.jpg?1712356142,
"Lazav, Familiar Stranger",M,U,3,C+,,,,https://cards.scryfall.io/large/front/0/0/00293326-3eb2-492c-b565-7abafa037d8c.jpg?1712356143,
"Lilah, Undefeated Slickshot",M,R,3,C,,,,https://cards.scryfall.io/large/front/e/2/e21f90ea-5934-4757-8515-38ef116afac1.jpg?1712356151,
Make Your Own Luck,M,U,5,B,,,,https://cards.scryfall.io/large/front/0/5/0557b0a3-2b48-408f-a508-9f4da2ab1cd1.jpg?1712356151,
"Malcolm, the Eyes",M,R,2,B,,,,https://cards.scryfall.io/large/front/5/2/521dffaa-813b-41e4-b7c2-a8c407167875.jpg?1712356159,
One Last Job,W,R,3,B-,True,,,https://cards.scryfall.io/large/front/7/1/71bfbfae-e7eb-4f80-81c6-9ab6a1bbd39d.jpg?1712860542,
"Marchesa, Dealer of Death",M,R,3,B,,,,https://cards.scryfall.io/large/front/e/e/ee29b59c-d57c-4a03-bae7-e9dfa57d6bb1.jpg?1712356159,
"Miriam, Herd Whisperer",M,U,2,B+,,,,https://cards.scryfall.io/large/front/b/f/bfa7750a-7c32-4413-b762-62e24d992c6b.jpg?1712356167,
"Obeka, Splitter of Seconds",M,R,4,F,,,,https://cards.scryfall.io/large/front/0/3/03415c42-086e-4a2e-9be8-5cdcde83f134.jpg?1712356168,
"Oko, the Ringleader",M,M,4,A-,,,,https://cards.scryfall.io/large/front/3/9/396df8d6-e85d-4486-8116-68841b7e1e2e.jpg?1712356176,
Pillage the Bog,M,R,2,C,,,,https://cards.scryfall.io/large/front/f/a/fa3b415f-7901-4ab4-84fe-60b90d40ac90.jpg?1712356177,
Rakdos Joins Up,M,R,5,B-,,,,https://cards.scryfall.io/large/front/c/7/c7154dca-7e10-4c34-aa56-9f200c6277d1.jpg?1712356184,
"Rakdos, the Muscle",M,M,5,A,,,,https://cards.scryfall.io/large/front/b/b/bb34babd-1b85-4a7d-a066-a8337805056e.jpg?1712356185,
Riku of Many Paths,M,R,3,D+,,,,https://cards.scryfall.io/large/front/2/1/21b63544-4c31-4f38-9907-0407719a60b1.jpg?1713091879,
"Roxanne, Starfall Savant",M,R,5,A+,,,,https://cards.scryfall.io/large/front/1/1/11fbe52f-febd-49fc-8391-28d3efe9c3eb.jpg?1712356193,
